Home,Away,Map,Score,Date
Ascent,Team Invite,cp_granary_pro2,,"May 21, 11:00pm"
OMNI5 ESports,TFCrew,cp_metalworks,,"May 21, 11:00pm"
New God Flow,MyAnimeList,Pending Veto,,"May 23, 11:00pm"
MyAnimeList,Velocity eSports TF2,Pending Veto,,"May 23, 11:00pm"
froyotech,black swan,Pending Veto,,"May 23, 11:00pm"
Team Invite,New God Flow,Pending Veto,,"May 24, 11:00pm"
TFCrew,froyotech,Pending Veto,,"May 24, 11:00pm"
black swan,Ascent,Pending Veto,,"May 24, 11:00pm"
Velocity eSports TF2,Team Invite,Pending Veto,,"May 28, 11:00pm"
froyotech,OMNI5 ESports,Pending Veto,,"May 28, 11:00pm"
Ascent,TFCrew,Pending Veto,,"May 28, 11:00pm"
New God Flow,black swan,Pending Veto,,"May 28, 11:00pm"
Team Invite,MyAnimeList,Pending Veto,,"May 30, 11:00pm"
OMNI5 ESports,Ascent,Pending Veto,,"May 30, 11:00pm"
TFCrew,New God Flow,Pending Veto,,"May 30, 11:00pm"
black swan,Velocity eSports TF2,Pending Veto,,"May 30, 11:00pm"
black swan,Team Invite,Pending Veto,,"Jun 6, 11:00pm"
OMNI5 ESports,Velocity eSports TF2,Pending Veto,,"Jun 6, 11:00pm"
TFCrew,MyAnimeList,Pending Veto,,"Jun 6, 11:00pm"
froyotech,New God Flow,Pending Veto,,"Jun 6, 11:00pm"
New God Flow,OMNI5 ESports,Pending Veto,,"Jun 4, 11:00pm"
MyAnimeList,black swan,Pending Veto,,"Jun 4, 11:00pm"
Velocity eSports TF2,TFCrew,Pending Veto,,"Jun 4, 11:00pm"
Ascent,froyotech,Pending Veto,,"Jun 4, 11:00pm"
Team Invite,Velocity eSports TF2,Pending Veto,,"Jun 27, 11:00pm"
OMNI5 ESports,froyotech,Pending Veto,,"Jun 27, 11:00pm"
TFCrew,Ascent,Pending Veto,,"Jun 27, 11:00pm"
black swan,New God Flow,Pending Veto,,"Jun 27, 11:00pm"
New God Flow,Team Invite,Pending Veto,,"Jun 25, 11:00pm"
Velocity eSports TF2,MyAnimeList,Pending Veto,,"Jun 25, 11:00pm"
froyotech,TFCrew,Pending Veto,,"Jun 25, 11:00pm"
Ascent,black swan,Pending Veto,,"Jun 25, 11:00pm"
Team Invite,Ascent,Pending Veto,,"Jun 20, 11:00pm"
TFCrew,OMNI5 ESports,Pending Veto,,"Jun 20, 11:00pm"
MyAnimeList,New God Flow,Pending Veto,,"Jun 20, 11:00pm"
black swan,froyotech,Pending Veto,,"Jun 20, 11:00pm"
Team Invite,froyotech,Pending Veto,,"Jun 18, 11:00pm"
black swan,OMNI5 ESports,Pending Veto,,"Jun 18, 11:00pm"
MyAnimeList,Ascent,Pending Veto,,"Jun 18, 11:00pm"
Velocity eSports TF2,New God Flow,Pending Veto,,"Jun 18, 11:00pm"
OMNI5 ESports,Team Invite,Pending Veto,,"Jun 13, 11:00pm"
froyotech,MyAnimeList,Pending Veto,,"Jun 13, 11:00pm"
TFCrew,black swan,Pending Veto,,"Jun 13, 11:00pm"
Ascent,Velocity eSports TF2,Pending Veto,,"Jun 13, 11:00pm"
Team Invite,TFCrew,Pending Veto,,"Jun 11, 11:00pm"
MyAnimeList,OMNI5 ESports,Pending Veto,,"Jun 11, 11:00pm"
Velocity eSports TF2,froyotech,Pending Veto,,"Jun 11, 11:00pm"
New God Flow,Ascent,Pending Veto,,"Jun 11, 11:00pm"
Team Invite,black swan,Pending Veto,,"Jul 9, 11:00pm"
Velocity eSports TF2,OMNI5 ESports,Pending Veto,,"Jul 9, 11:00pm"
MyAnimeList,TFCrew,Pending Veto,,"Jul 9, 11:00pm"
New God Flow,froyotech,Pending Veto,,"Jul 9, 11:00pm"
OMNI5 ESports,New God Flow,Pending Veto,,"Jul 4, 11:00pm"
black swan,MyAnimeList,Pending Veto,,"Jul 4, 11:00pm"
TFCrew,Velocity eSports TF2,Pending Veto,,"Jul 4, 11:00pm"
froyotech,Ascent,Pending Veto,,"Jul 4, 11:00pm"
MyAnimeList,Team Invite,Pending Veto,,"Jul 2, 11:00pm"
Ascent,OMNI5 ESports,Pending Veto,,"Jul 2, 11:00pm"
New God Flow,TFCrew,Pending Veto,,"Jul 2, 11:00pm"
Velocity eSports TF2,black swan,Pending Veto,,"Jul 2, 11:00pm"
froyotech,Team Invite,Pending Veto,,"Jul 18, 11:00pm"
OMNI5 ESports,black swan,Pending Veto,,"Jul 18, 11:00pm"
Ascent,MyAnimeList,Pending Veto,,"Jul 18, 11:00pm"
New God Flow,Velocity eSports TF2,Pending Veto,,"Jul 18, 11:00pm"
Team Invite,OMNI5 ESports,Pending Veto,,"Jul 16, 11:00pm"
MyAnimeList,froyotech,Pending Veto,,"Jul 16, 11:00pm"
black swan,TFCrew,Pending Veto,,"Jul 16, 11:00pm"
Velocity eSports TF2,Ascent,Pending Veto,,"Jul 16, 11:00pm"
TFCrew,Team Invite,Pending Veto,,"Jul 11, 11:00pm"
OMNI5 ESports,MyAnimeList,Pending Veto,,"Jul 11, 11:00pm"
froyotech,Velocity eSports TF2,Pending Veto,,"Jul 11, 11:00pm"
Ascent,New God Flow,Pending Veto,,"Jul 11, 11:00pm"
